Area,Age,Sex,Year at 30 June,Value,Flags
"Franklin local board area","15-19 Years","Female","2012",2340,
"Rodney local board area","20-24 Years","Female","2007",1090,
"Rodney local board area","20-24 Years","Female","2008",1140,
"Rodney local board area","20-24 Years","Female","2009",1220,
"Rodney local board area","20-24 Years","Female","2010",1260,
"Rodney local board area","20-24 Years","Female","2011",1310,
"Rodney local board area","20-24 Years","Female","2012",1320,
"Hibiscus and Bays local board area","20-24 Years","Female","2007",2290,
"Hibiscus and Bays local board area","20-24 Years","Female","2008",2320,
"Hibiscus and Bays local board area","20-24 Years","Female","2009",2340,
"Hibiscus and Bays local board area","20-24 Years","Female","2010",2370,
"Hibiscus and Bays local board area","20-24 Years","Female","2011",2470,
"Hibiscus and Bays local board area","20-24 Years","Female","2012",2540,
"Upper Harbour local board area","20-24 Years","Female","2007",1740,
"Upper Harbour local board area","20-24 Years","Female","2008",1740,
"Upper Harbour local board area","20-24 Years","Female","2009",1720,
"Upper Harbour local board area","20-24 Years","Female","2010",1800,
"Upper Harbour local board area","20-24 Years","Female","2011",1940,
"Upper Harbour local board area","20-24 Years","Female","2012",2060,
"Kaipatiki local board area","20-24 Years","Female","2007",3560,
"Kaipatiki local board area","20-24 Years","Female","2008",3350,
"Kaipatiki local board area","20-24 Years","Female","2009",3190,
"Kaipatiki local board area","20-24 Years","Female","2010",3170,
"Kaipatiki local board area","20-24 Years","Female","2011",3230,
"Kaipatiki local board area","20-24 Years","Female","2012",3280,
"Devonport-Takapuna local board area","20-24 Years","Female","2007",1900,
"Devonport-Takapuna local board area","20-24 Years","Female","2008",1840,
"Devonport-Takapuna local board area","20-24 Years","Female","2009",1790,
"Devonport-Takapuna local board area","20-24 Years","Female","2010",1810,
"Devonport-Takapuna local board area","20-24 Years","Female","2011",1900,
"Devonport-Takapuna local board area","20-24 Years","Female","2012",1950,
"Henderson-Massey local board area","20-24 Years","Female","2007",3760,
"Henderson-Massey local board area","20-24 Years","Female","2008",3810,
"Henderson-Massey local board area","20-24 Years","Female","2009",3860,
"Henderson-Massey local board area","20-24 Years","Female","2010",3960,
"Henderson-Massey local board area","20-24 Years","Female","2011",4080,
"Henderson-Massey local board area","20-24 Years","Female","2012",4160,
"Waitakere Ranges local board area","20-24 Years","Female","2007",1380,
"Waitakere Ranges local board area","20-24 Years","Female","2008",1400,
"Waitakere Ranges local board area","20-24 Years","Female","2009",1430,
"Waitakere Ranges local board area","20-24 Years","Female","2010",1480,
"Waitakere Ranges local board area","20-24 Years","Female","2011",1530,
"Waitakere Ranges local board area","20-24 Years","Female","2012",1590,
"Aotea/Great Barrier local board area","20-24 Years","Female","2007",10,
"Aotea/Great Barrier local board area","20-24 Years","Female","2008",10,
"Aotea/Great Barrier local board area","20-24 Years","Female","2009",10,
"Aotea/Great Barrier local board area","20-24 Years","Female","2010",15,
"Aotea/Great Barrier local board area","20-24 Years","Female","2011",15,
"Aotea/Great Barrier local board area","20-24 Years","Female","2012",15,
"Waiheke local board area","20-24 Years","Female","2007",160,
"Waiheke local board area","20-24 Years","Female","2008",160,
"Waiheke local board area","20-24 Years","Female","2009",160,
"Waiheke local board area","20-24 Years","Female","2010",160,
"Waiheke local board area","20-24 Years","Female","2011",160,
"Waiheke local board area","20-24 Years","Female","2012",170,
"Waitemata local board area","20-24 Years","Female","2007",6070,
"Waitemata local board area","20-24 Years","Female","2008",6070,
"Waitemata local board area","20-24 Years","Female","2009",6090,
"Waitemata local board area","20-24 Years","Female","2010",6170,
"Waitemata local board area","20-24 Years","Female","2011",6240,
"Waitemata local board area","20-24 Years","Female","2012",6190,
"Whau local board area","20-24 Years","Female","2007",2920,
"Whau local board area","20-24 Years","Female","2008",2810,
"Whau local board area","20-24 Years","Female","2009",2720,
"Whau local board area","20-24 Years","Female","2010",2740,
"Whau local board area","20-24 Years","Female","2011",2800,
"Whau local board area","20-24 Years","Female","2012",2880,
"Albert-Eden local board area","20-24 Years","Female","2007",4650,
"Albert-Eden local board area","20-24 Years","Female","2008",4310,
"Albert-Eden local board area","20-24 Years","Female","2009",4160,
"Albert-Eden local board area","20-24 Years","Female","2010",4140,
"Albert-Eden local board area","20-24 Years","Female","2011",4270,
"Albert-Eden local board area","20-24 Years","Female","2012",4360,
"Puketapapa local board area","20-24 Years","Female","2007",2460,
"Puketapapa local board area","20-24 Years","Female","2008",2380,
"Puketapapa local board area","20-24 Years","Female","2009",2370,
"Puketapapa local board area","20-24 Years","Female","2010",2350,
"Puketapapa local board area","20-24 Years","Female","2011",2480,
"Puketapapa local board area","20-24 Years","Female","2012",2560,
"Orakei local board area","20-24 Years","Female","2007",2570,
"Orakei local board area","20-24 Years","Female","2008",2410,
"Orakei local board area","20-24 Years","Female","2009",2380,
"Orakei local board area","20-24 Years","Female","2010",2430,
"Orakei local board area","20-24 Years","Female","2011",2540,
"Orakei local board area","20-24 Years","Female","2012",2620,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2007",2670,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2008",2620,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2009",2630,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2010",2670,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2011",2780,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2012",2880,
"Howick local board area","20-24 Years","Female","2007",4420,
"Howick local board area","20-24 Years","Female","2008",4380,
"Howick local board area","20-24 Years","Female","2009",4330,
"Howick local board area","20-24 Years","Female","2010",4320,
"Howick local board area","20-24 Years","Female","2011",4360,
"Howick local board area","20-24 Years","Female","2012",4470,
"Mangere-Otahuhu local board area","20-24 Years","Female","2007",2950,
"Mangere-Otahuhu local board area","20-24 Years","Female","2008",2940,
"Mangere-Otahuhu local board area","20-24 Years","Female","2009",2930,
"Mangere-Otahuhu local board area","20-24 Years","Female","2010",2970,
"Mangere-Otahuhu local board area","20-24 Years","Female","2011",3050,
"Mangere-Otahuhu local board area","20-24 Years","Female","2012",3140,
"Otara-Papatoetoe local board area","20-24 Years","Female","2007",3170,
"Otara-Papatoetoe local board area","20-24 Years","Female","2008",3210,
"Otara-Papatoetoe local board area","20-24 Years","Female","2009",3200,
"Otara-Papatoetoe local board area","20-24 Years","Female","2010",3250,
"Otara-Papatoetoe local board area","20-24 Years","Female","2011",3350,
"Otara-Papatoetoe local board area","20-24 Years","Female","2012",3420,
"Manurewa local board area","20-24 Years","Female","2007",3180,
"Manurewa local board area","20-24 Years","Female","2008",3180,
"Manurewa local board area","20-24 Years","Female","2009",3210,
"Manurewa local board area","20-24 Years","Female","2010",3310,
"Manurewa local board area","20-24 Years","Female","2011",3440,
"Manurewa local board area","20-24 Years","Female","2012",3550,
"Papakura local board area","20-24 Years","Female","2007",1500,
"Papakura local board area","20-24 Years","Female","2008",1600,
"Papakura local board area","20-24 Years","Female","2009",1640,
"Papakura local board area","20-24 Years","Female","2010",1710,
"Papakura local board area","20-24 Years","Female","2011",1780,
"Papakura local board area","20-24 Years","Female","2012",1830,
"Franklin local board area","20-24 Years","Female","2007",1360,
"Franklin local board area","20-24 Years","Female","2008",1440,
"Franklin local board area","20-24 Years","Female","2009",1550,
"Franklin local board area","20-24 Years","Female","2010",1670,
"Franklin local board area","20-24 Years","Female","2011",1730,
"Franklin local board area","20-24 Years","Female","2012",1770,
"Rodney local board area","25-29 Years","Female","2007",1050,
"Rodney local board area","25-29 Years","Female","2008",1090,
"Rodney local board area","25-29 Years","Female","2009",1130,
"Rodney local board area","25-29 Years","Female","2010",1160,
"Rodney local board area","25-29 Years","Female","2011",1190,
"Rodney local board area","25-29 Years","Female","2012",1240,
"Hibiscus and Bays local board area","25-29 Years","Female","2007",1830,
"Hibiscus and Bays local board area","25-29 Years","Female","2008",1910,
"Hibiscus and Bays local board area","25-29 Years","Female","2009",2020,
"Hibiscus and Bays local board area","25-29 Years","Female","2010",2180,
"Hibiscus and Bays local board area","25-29 Years","Female","2011",2210,
"Hibiscus and Bays local board area","25-29 Years","Female","2012",2190,
"Upper Harbour local board area","25-29 Years","Female","2007",1510,
"Upper Harbour local board area","25-29 Years","Female","2008",1670,
"Upper Harbour local board area","25-29 Years","Female","2009",1790,
"Upper Harbour local board area","25-29 Years","Female","2010",1860,
"Upper Harbour local board area","25-29 Years","Female","2011",1920,
"Upper Harbour local board area","25-29 Years","Female","2012",1930,
"Kaipatiki local board area","25-29 Years","Female","2007",3350,
"Kaipatiki local board area","25-29 Years","Female","2008",3490,
"Kaipatiki local board area","25-29 Years","Female","2009",3630,
"Kaipatiki local board area","25-29 Years","Female","2010",3730,
"Kaipatiki local board area","25-29 Years","Female","2011",3720,
"Kaipatiki local board area","25-29 Years","Female","2012",3670,
"Devonport-Takapuna local board area","25-29 Years","Female","2007",1820,
"Devonport-Takapuna local board area","25-29 Years","Female","2008",1850,
"Devonport-Takapuna local board area","25-29 Years","Female","2009",1870,
"Devonport-Takapuna local board area","25-29 Years","Female","2010",1900,
"Devonport-Takapuna local board area","25-29 Years","Female","2011",1860,
"Devonport-Takapuna local board area","25-29 Years","Female","2012",1810,
"Henderson-Massey local board area","25-29 Years","Female","2007",3930,
"Henderson-Massey local board area","25-29 Years","Female","2008",4010,
"Henderson-Massey local board area","25-29 Years","Female","2009",4090,
"Henderson-Massey local board area","25-29 Years","Female","2010",4180,
"Henderson-Massey local board area","25-29 Years","Female","2011",4240,
"Henderson-Massey local board area","25-29 Years","Female","2012",4260,
"Waitakere Ranges local board area","25-29 Years","Female","2007",1450,
"Waitakere Ranges local board area","25-29 Years","Female","2008",1450,
"Waitakere Ranges local board area","25-29 Years","Female","2009",1450,
"Waitakere Ranges local board area","25-29 Years","Female","2010",1440,
"Waitakere Ranges local board area","25-29 Years","Female","2011",1430,
"Waitakere Ranges local board area","25-29 Years","Female","2012",1420,
"Aotea/Great Barrier local board area","25-29 Years","Female","2007",10,
"Aotea/Great Barrier local board area","25-29 Years","Female","2008",10,
"Aotea/Great Barrier local board area","25-29 Years","Female","2009",15,
"Aotea/Great Barrier local board area","25-29 Years","Female","2010",15,
"Aotea/Great Barrier local board area","25-29 Years","Female","2011",15,
"Aotea/Great Barrier local board area","25-29 Years","Female","2012",15,
"Waiheke local board area","25-29 Years","Female","2007",180,
"Waiheke local board area","25-29 Years","Female","2008",180,
"Waiheke local board area","25-29 Years","Female","2009",180,
"Waiheke local board area","25-29 Years","Female","2010",180,
"Waiheke local board area","25-29 Years","Female","2011",180,
"Waiheke local board area","25-29 Years","Female","2012",180,
"Waitemata local board area","25-29 Years","Female","2007",5090,
"Waitemata local board area","25-29 Years","Female","2008",5290,
"Waitemata local board area","25-29 Years","Female","2009",5420,
"Waitemata local board area","25-29 Years","Female","2010",5590,
"Waitemata local board area","25-29 Years","Female","2011",5710,
"Waitemata local board area","25-29 Years","Female","2012",5870,
"Whau local board area","25-29 Years","Female","2007",3040,
"Whau local board area","25-29 Years","Female","2008",3090,
"Whau local board area","25-29 Years","Female","2009",3160,
"Whau local board area","25-29 Years","Female","2010",3170,
"Whau local board area","25-29 Years","Female","2011",3150,
"Whau local board area","25-29 Years","Female","2012",3090,
"Albert-Eden local board area","25-29 Years","Female","2007",4690,
"Albert-Eden local board area","25-29 Years","Female","2008",4770,
"Albert-Eden local board area","25-29 Years","Female","2009",4640,
"Albert-Eden local board area","25-29 Years","Female","2010",4590,
"Albert-Eden local board area","25-29 Years","Female","2011",4450,
"Albert-Eden local board area","25-29 Years","Female","2012",4390,
"Puketapapa local board area","25-29 Years","Female","2007",2110,
"Puketapapa local board area","25-29 Years","Female","2008",2200,
"Puketapapa local board area","25-29 Years","Female","2009",2230,
"Puketapapa local board area","25-29 Years","Female","2010",2320,
"Puketapapa local board area","25-29 Years","Female","2011",2350,
"Puketapapa local board area","25-29 Years","Female","2012",2350,
"Orakei local board area","25-29 Years","Female","2007",2560,
"Orakei local board area","25-29 Years","Female","2008",2630,
"Orakei local board area","25-29 Years","Female","2009",2680,
"Orakei local board area","25-29 Years","Female","2010",2650,
"Orakei local board area","25-29 Years","Female","2011",2640,
"Orakei local board area","25-29 Years","Female","2012",2590,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2007",3340,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2008",3280,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2009",3230,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2010",3260,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2011",3280,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2012",3220,
"Howick local board area","25-29 Years","Female","2007",3850,
"Howick local board area","25-29 Years","Female","2008",4160,
"Howick local board area","25-29 Years","Female","2009",4380,
"Howick local board area","25-29 Years","Female","2010",4600,
"Howick local board area","25-29 Years","Female","2011",4670,
"Howick local board area","25-29 Years","Female","2012",4610,
"Mangere-Otahuhu local board area","25-29 Years","Female","2007",2850,
"Mangere-Otahuhu local board area","25-29 Years","Female","2008",2850,
"Mangere-Otahuhu local board area","25-29 Years","Female","2009",2840,
"Mangere-Otahuhu local board area","25-29 Years","Female","2010",2830,
"Mangere-Otahuhu local board area","25-29 Years","Female","2011",2870,
"Mangere-Otahuhu local board area","25-29 Years","Female","2012",2830,
"Otara-Papatoetoe local board area","25-29 Years","Female","2007",3090,
"Otara-Papatoetoe local board area","25-29 Years","Female","2008",3040,
"Otara-Papatoetoe local board area","25-29 Years","Female","2009",3070,
"Otara-Papatoetoe local board area","25-29 Years","Female","2010",3130,
"Otara-Papatoetoe local board area","25-29 Years","Female","2011",3160,
"Otara-Papatoetoe local board area","25-29 Years","Female","2012",3220,
"Manurewa local board area","25-29 Years","Female","2007",3150,
"Manurewa local board area","25-29 Years","Female","2008",3170,
"Manurewa local board area","25-29 Years","Female","2009",3190,
"Manurewa local board area","25-29 Years","Female","2010",3190,
"Manurewa local board area","25-29 Years","Female","2011",3240,
"Manurewa local board area","25-29 Years","Female","2012",3260,
"Papakura local board area","25-29 Years","Female","2007",1520,
"Papakura local board area","25-29 Years","Female","2008",1510,
"Papakura local board area","25-29 Years","Female","2009",1550,
"Papakura local board area","25-29 Years","Female","2010",1580,
"Papakura local board area","25-29 Years","Female","2011",1640,
"Papakura local board area","25-29 Years","Female","2012",1710,
"Franklin local board area","25-29 Years","Female","2007",1450,
"Franklin local board area","25-29 Years","Female","2008",1460,
"Franklin local board area","25-29 Years","Female","2009",1490,
"Franklin local board area","25-29 Years","Female","2010",1490,
"Franklin local board area","25-29 Years","Female","2011",1490,
"Franklin local board area","25-29 Years","Female","2012",1530,
"Rodney local board area","30-34 Years","Female","2007",1470,
"Rodney local board area","30-34 Years","Female","2008",1410,
"Rodney local board area","30-34 Years","Female","2009",1360,
"Rodney local board area","30-34 Years","Female","2010",1360,
"Rodney local board area","30-34 Years","Female","2011",1360,
"Rodney local board area","30-34 Years","Female","2012",1360,
"Hibiscus and Bays local board area","30-34 Years","Female","2007",2440,
"Hibiscus and Bays local board area","30-34 Years","Female","2008",2360,
"Hibiscus and Bays local board area","30-34 Years","Female","2009",2290,
"Hibiscus and Bays local board area","30-34 Years","Female","2010",2240,
"Hibiscus and Bays local board area","30-34 Years","Female","2011",2240,
"Hibiscus and Bays local board area","30-34 Years","Female","2012",2280,
"Upper Harbour local board area","30-34 Years","Female","2007",1570,
"Upper Harbour local board area","30-34 Years","Female","2008",1580,
"Upper Harbour local board area","30-34 Years","Female","2009",1590,
"Upper Harbour local board area","30-34 Years","Female","2010",1590,
"Upper Harbour local board area","30-34 Years","Female","2011",1660,
"Upper Harbour local board area","30-34 Years","Female","2012",1790,
"Kaipatiki local board area","30-34 Years","Female","2007",3490,
"Kaipatiki local board area","30-34 Years","Female","2008",3440,
"Kaipatiki local board area","30-34 Years","Female","2009",3420,
"Kaipatiki local board area","30-34 Years","Female","2010",3450,
"Kaipatiki local board area","30-34 Years","Female","2011",3620,
"Kaipatiki local board area","30-34 Years","Female","2012",3720,
"Devonport-Takapuna local board area","30-34 Years","Female","2007",1880,
"Devonport-Takapuna local board area","30-34 Years","Female","2008",1860,
"Devonport-Takapuna local board area","30-34 Years","Female","2009",1900,
"Devonport-Takapuna local board area","30-34 Years","Female","2010",1870,
"Devonport-Takapuna local board area","30-34 Years","Female","2011",1890,
"Devonport-Takapuna local board area","30-34 Years","Female","2012",1860,
"Henderson-Massey local board area","30-34 Years","Female","2007",4250,
"Henderson-Massey local board area","30-34 Years","Female","2008",4130,
"Henderson-Massey local board area","30-34 Years","Female","2009",4120,
"Henderson-Massey local board area","30-34 Years","Female","2010",4160,
"Henderson-Massey local board area","30-34 Years","Female","2011",4250,
"Henderson-Massey local board area","30-34 Years","Female","2012",4340,
"Waitakere Ranges local board area","30-34 Years","Female","2007",1930,
"Waitakere Ranges local board area","30-34 Years","Female","2008",1840,
"Waitakere Ranges local board area","30-34 Years","Female","2009",1770,
"Waitakere Ranges local board area","30-34 Years","Female","2010",1780,
"Waitakere Ranges local board area","30-34 Years","Female","2011",1760,
"Waitakere Ranges local board area","30-34 Years","Female","2012",1760,
"Aotea/Great Barrier local board area","30-34 Years","Female","2007",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2008",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2009",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2010",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2011",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2012",15,
"Waiheke local board area","30-34 Years","Female","2007",280,
"Waiheke local board area","30-34 Years","Female","2008",280,
"Waiheke local board area","30-34 Years","Female","2009",260,
"Waiheke local board area","30-34 Years","Female","2010",230,
"Waiheke local board area","30-34 Years","Female","2011",240,
"Waiheke local board area","30-34 Years","Female","2012",240,
"Waitemata local board area","30-34 Years","Female","2007",3830,
"Waitemata local board area","30-34 Years","Female","2008",3900,
"Waitemata local board area","30-34 Years","Female","2009",4020,
"Waitemata local board area","30-34 Years","Female","2010",4050,
"Waitemata local board area","30-34 Years","Female","2011",4160,
"Waitemata local board area","30-34 Years","Female","2012",4260,
"Whau local board area","30-34 Years","Female","2007",2840,
"Whau local board area","30-34 Years","Female","2008",2830,
"Whau local board area","30-34 Years","Female","2009",2840,
"Whau local board area","30-34 Years","Female","2010",2930,
"Whau local board area","30-34 Years","Female","2011",2980,
"Whau local board area","30-34 Years","Female","2012",3080,
"Albert-Eden local board area","30-34 Years","Female","2007",4330,
"Albert-Eden local board area","30-34 Years","Female","2008",4230,
"Albert-Eden local board area","30-34 Years","Female","2009",4230,
"Albert-Eden local board area","30-34 Years","Female","2010",4220,
"Albert-Eden local board area","30-34 Years","Female","2011",4200,
"Albert-Eden local board area","30-34 Years","Female","2012",4190,
"Puketapapa local board area","30-34 Years","Female","2007",1900,
"Puketapapa local board area","30-34 Years","Female","2008",1880,
"Puketapapa local board area","30-34 Years","Female","2009",1910,
"Puketapapa local board area","30-34 Years","Female","2010",1930,
"Puketapapa local board area","30-34 Years","Female","2011",1950,
"Puketapapa local board area","30-34 Years","Female","2012",2010,
"Orakei local board area","30-34 Years","Female","2007",2960,
"Orakei local board area","30-34 Years","Female","2008",2860,
"Orakei local board area","30-34 Years","Female","2009",2750,
"Orakei local board area","30-34 Years","Female","2010",2730,
"Orakei local board area","30-34 Years","Female","2011",2680,
"Orakei local board area","30-34 Years","Female","2012",2630,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2007",3480,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2008",3420,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2009",3380,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2010",3340,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2011",3380,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2012",3450,
"Howick local board area","30-34 Years","Female","2007",4060,
"Howick local board area","30-34 Years","Female","2008",4000,
"Howick local board area","30-34 Years","Female","2009",4020,
"Howick local board area","30-34 Years","Female","2010",4120,
"Howick local board area","30-34 Years","Female","2011",4240,
"Howick local board area","30-34 Years","Female","2012",4510,
"Mangere-Otahuhu local board area","30-34 Years","Female","2007",2680,
"Mangere-Otahuhu local board area","30-34 Years","Female","2008",2620,
"Mangere-Otahuhu local board area","30-34 Years","Female","2009",2580,
"Mangere-Otahuhu local board area","30-34 Years","Female","2010",2580,
"Mangere-Otahuhu local board area","30-34 Years","Female","2011",2550,
"Mangere-Otahuhu local board area","30-34 Years","Female","2012",2590,
"Otara-Papatoetoe local board area","30-34 Years","Female","2007",2920,
"Otara-Papatoetoe local board area","30-34 Years","Female","2008",2900,
"Otara-Papatoetoe local board area","30-34 Years","Female","2009",2900,
"Otara-Papatoetoe local board area","30-34 Years","Female","2010",2940,
"Otara-Papatoetoe local board area","30-34 Years","Female","2011",3000,
"Otara-Papatoetoe local board area","30-34 Years","Female","2012",3020,
"Manurewa local board area","30-34 Years","Female","2007",3220,
"Manurewa local board area","30-34 Years","Female","2008",3120,
"Manurewa local board area","30-34 Years","Female","2009",3080,
"Manurewa local board area","30-34 Years","Female","2010",3090,
"Manurewa local board area","30-34 Years","Female","2011",3110,
"Manurewa local board area","30-34 Years","Female","2012",3150,
"Papakura local board area","30-34 Years","Female","2007",1630,
"Papakura local board area","30-34 Years","Female","2008",1580,
"Papakura local board area","30-34 Years","Female","2009",1550,
"Papakura local board area","30-34 Years","Female","2010",1580,
"Papakura local board area","30-34 Years","Female","2011",1630,
"Papakura local board area","30-34 Years","Female","2012",1630,
"Franklin local board area","30-34 Years","Female","2007",1970,
"Franklin local board area","30-34 Years","Female","2008",1890,
"Franklin local board area","30-34 Years","Female","2009",1830,
"Franklin local board area","30-34 Years","Female","2010",1820,
"Franklin local board area","30-34 Years","Female","2011",1820,
"Franklin local board area","30-34 Years","Female","2012",1790,
"Rodney local board area","35-39 Years","Female","2007",2180,
"Rodney local board area","35-39 Years","Female","2008",2180,
"Rodney local board area","35-39 Years","Female","2009",2110,
"Rodney local board area","35-39 Years","Female","2010",2050,
"Rodney local board area","35-39 Years","Female","2011",1930,
"Rodney local board area","35-39 Years","Female","2012",1820,
"Hibiscus and Bays local board area","35-39 Years","Female","2007",3540,
"Hibiscus and Bays local board area","35-39 Years","Female","2008",3490,
"Hibiscus and Bays local board area","35-39 Years","Female","2009",3380,
"Hibiscus and Bays local board area","35-39 Years","Female","2010",3270,
"Hibiscus and Bays local board area","35-39 Years","Female","2011",3110,
"Hibiscus and Bays local board area","35-39 Years","Female","2012",2930,
"Upper Harbour local board area","35-39 Years","Female","2007",2160,
"Upper Harbour local board area","35-39 Years","Female","2008",2160,
"Upper Harbour local board area","35-39 Years","Female","2009",2090,
"Upper Harbour local board area","35-39 Years","Female","2010",2070,
"Upper Harbour local board area","35-39 Years","Female","2011",1990,
"Upper Harbour local board area","35-39 Years","Female","2012",1880,
"Kaipatiki local board area","35-39 Years","Female","2007",3750,
"Kaipatiki local board area","35-39 Years","Female","2008",3740,
"Kaipatiki local board area","35-39 Years","Female","2009",3690,
"Kaipatiki local board area","35-39 Years","Female","2010",3650,
"Kaipatiki local board area","35-39 Years","Female","2011",3510,
"Kaipatiki local board area","35-39 Years","Female","2012",3470,
"Devonport-Takapuna local board area","35-39 Years","Female","2007",2170,
"Devonport-Takapuna local board area","35-39 Years","Female","2008",2140,
"Devonport-Takapuna local board area","35-39 Years","Female","2009",2110,
"Devonport-Takapuna local board area","35-39 Years","Female","2010",2080,
"Devonport-Takapuna local board area","35-39 Years","Female","2011",2040,
"Devonport-Takapuna local board area","35-39 Years","Female","2012",2010,
"Henderson-Massey local board area","35-39 Years","Female","2007",4450,
"Henderson-Massey local board area","35-39 Years","Female","2008",4440,
"Henderson-Massey local board area","35-39 Years","Female","2009",4400,
"Henderson-Massey local board area","35-39 Years","Female","2010",4360,
"Henderson-Massey local board area","35-39 Years","Female","2011",4300,
"Henderson-Massey local board area","35-39 Years","Female","2012",4240,
"Waitakere Ranges local board area","35-39 Years","Female","2007",2210,
"Waitakere Ranges local board area","35-39 Years","Female","2008",2200,
"Waitakere Ranges local board area","35-39 Years","Female","2009",2200,
"Waitakere Ranges local board area","35-39 Years","Female","2010",2150,
"Waitakere Ranges local board area","35-39 Years","Female","2011",2100,
"Waitakere Ranges local board area","35-39 Years","Female","2012",2040,
"Aotea/Great Barrier local board area","35-39 Years","Female","2007",30,
"Aotea/Great Barrier local board area","35-39 Years","Female","2008",30,
"Aotea/Great Barrier local board area","35-39 Years","Female","2009",25,
"Aotea/Great Barrier local board area","35-39 Years","Female","2010",25,
"Aotea/Great Barrier local board area","35-39 Years","Female","2011",30,
"Aotea/Great Barrier local board area","35-39 Years","Female","2012",25,
"Waiheke local board area","35-39 Years","Female","2007",340,
"Waiheke local board area","35-39 Years","Female","2008",330,
"Waiheke local board area","35-39 Years","Female","2009",330,
"Waiheke local board area","35-39 Years","Female","2010",340,
"Waiheke local board area","35-39 Years","Female","2011",330,
"Waiheke local board area","35-39 Years","Female","2012",300,
"Waitemata local board area","35-39 Years","Female","2007",2910,
"Waitemata local board area","35-39 Years","Female","2008",3020,
"Waitemata local board area","35-39 Years","Female","2009",3080,
"Waitemata local board area","35-39 Years","Female","2010",3150,
"Waitemata local board area","35-39 Years","Female","2011",3090,
"Waitemata local board area","35-39 Years","Female","2012",3010,
"Whau local board area","35-39 Years","Female","2007",3010,
"Whau local board area","35-39 Years","Female","2008",2920,
"Whau local board area","35-39 Years","Female","2009",2910,
"Whau local board area","35-39 Years","Female","2010",2860,
"Whau local board area","35-39 Years","Female","2011",2830,
"Whau local board area","35-39 Years","Female","2012",2710,
"Albert-Eden local board area","35-39 Years","Female","2007",4370,
"Albert-Eden local board area","35-39 Years","Female","2008",4340,
"Albert-Eden local board area","35-39 Years","Female","2009",4370,
"Albert-Eden local board area","35-39 Years","Female","2010",4290,
"Albert-Eden local board area","35-39 Years","Female","2011",4210,
"Albert-Eden local board area","35-39 Years","Female","2012",4100,
"Puketapapa local board area","35-39 Years","Female","2007",2060,
"Puketapapa local board area","35-39 Years","Female","2008",2050,
"Puketapapa local board area","35-39 Years","Female","2009",2000,
"Puketapapa local board area","35-39 Years","Female","2010",1960,
"Puketapapa local board area","35-39 Years","Female","2011",1960,
"Puketapapa local board area","35-39 Years","Female","2012",1900,
"Orakei local board area","35-39 Years","Female","2007",3440,
"Orakei local board area","35-39 Years","Female","2008",3410,
"Orakei local board area","35-39 Years","Female","2009",3400,
"Orakei local board area","35-39 Years","Female","2010",3330,
"Orakei local board area","35-39 Years","Female","2011",3220,
"Orakei local board area","35-39 Years","Female","2012",3090,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2007",3260,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2008",3230,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2009",3180,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2010",3120,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2011",3020,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2012",2950,
"Howick local board area","35-39 Years","Female","2007",5160,
"Howick local board area","35-39 Years","Female","2008",5180,
"Howick local board area","35-39 Years","Female","2009",5080,
"Howick local board area","35-39 Years","Female","2010",4990,
"Howick local board area","35-39 Years","Female","2011",4880,
"Howick local board area","35-39 Years","Female","2012",4720,
"Mangere-Otahuhu local board area","35-39 Years","Female","2007",2760,
"Mangere-Otahuhu local board area","35-39 Years","Female","2008",2730,
"Mangere-Otahuhu local board area","35-39 Years","Female","2009",2670,
"Mangere-Otahuhu local board area","35-39 Years","Female","2010",2580,
"Mangere-Otahuhu local board area","35-39 Years","Female","2011",2560,
"Mangere-Otahuhu local board area","35-39 Years","Female","2012",2490,
"Otara-Papatoetoe local board area","35-39 Years","Female","2007",2960,
